id,kamoku_cd,saimoku_cd,saimoku_full_name,saimoku_ryaku_name,saimoku_kana_name,description,created_at,updated_at
1,A1,A11,現金,現金,genkin,,2021-03-21,2021-03-21
2,A2,A21,ゆうちょ,郵貯,yuutyo,,2021-03-21,2021-03-21
3,A3,A31,売掛金(CCT),CCT,cct,,2021-03-21,2021-03-21
21,A4,A41,短期貸付金,短貸,tanki kasitukekin,,2021-03-21,2021-03-21
4,B1,B11,未払給与,未給,miharai kyuuyo,,2021-03-21,2021-03-21
5,B1,B12,未払経費,未経,miharai keihi,その他未払いの経費,2021-03-21,2021-03-21
6,B1,B13,未払税,未税,miharai zei,未払い租税公課,2021-03-21,2021-03-21
7,B2,B21,借入金,借入,kariirekin,,2021-03-21,2021-03-21
8,B3,B31,源泉所得税,源泉,gensen syotokuzei,,2021-03-21,2021-03-21
9,C1,C11,資本金,資本,sihonkin,,2021-03-21,2021-03-21
10,D1,D11,売上,売上,uriage,,2021-03-21,2021-03-21
11,D2,D21,受取利息,利息,uketori risoku,,2021-03-21,2021-03-21
12,E1,E11,役員報酬,役員,yakuin housyuu,,2021-03-21,2021-03-21
13,E2,E21,接待交際費,接待,settai kousaihi,,2021-03-21,2021-03-21
14,E3,E31,社会保険料,社保,syakai hokenryou,法定福利費,2021-03-21,2021-03-21
25,E3,E32,健康維持費,健康,kenkou ijihi,,2021-03-21,2021-03-21
15,E4,E41,旅費交通費,旅費,ryohi koutuuhi,,2021-03-21,2021-03-21
16,E5,E51,地代家賃,地代,tidai yatin,,2021-03-21,2021-03-21
17,E5,E52,通信費,通信,tuusinhi,,2021-03-21,2021-03-21
18,E5,E53,水道費,水道,suidouhi,,2021-03-21,2021-03-21
22,E5,E54,電気費,電気,denkihi,,2021-03-21,2021-03-21
23,E5,E55,ガス費,ガス,gasuhi,,2021-03-21,2021-03-21
26,E5,E56,作業費,作業,sagyouhi,,2021-03-21,2021-03-21
19,E6,E61,消耗品費,消耗,syoumouhinhi,物品購入,2021-03-21,2021-03-21
20,E6,E62,生活費,生活,seikatsuhi,,2021-03-21,2021-03-21
24,E6,E63,美容費,美容,biyouhi,,2021-03-21,2021-03-21
27,E6,E64,服飾費,服飾,fukusyokuhi,,2021-03-21,2021-03-21
81,XX,XX1,法人税,法人税,houjinzei,,2021-03-21,2021-03-21
82,XX,XX2,地方法人税,地方法人税,tihou houjinzei,,2021-03-21,2021-03-21
83,XX,XX3,法人事業税,事業税,jigyouzei,,2021-03-21,2021-03-21
84,XX,XX4,地方法人特別税,地方法人特別税,tihouhoujin tokubetuzei,,2021-03-21,2021-03-21
85,XX,XX5,法人都民税,都民税,tominzei,,2021-03-21,2021-03-21
99,ZZ,ZZZ,繰越,繰越,kurikosi,残高を翌年に繰り越す際の仕訳に使用する相手方の科目,2021-03-21,2021-03-21
